step	ts_utc	kind	ref	outcome	note
20	2026-09-26T14:43:18Z	decision	use GHCR image ghcr.io/chap-models/chapkit_ghr_model:sha-a9532c7 rather than make build	used	published image is the model as released and pinned to the commit; avoids rebuilding R-INLA stack; make build kept as fallback
21	2026-09-26T14:43:18Z	decision	chap eval against a local directory (auto-start via uv run fastapi dev)	discarded	needs R, INLA and GHRmodel on the host; model is only runnable in its docker image
22	2026-09-26T14:53:42Z	command	chap validate Archive/data-lao/chap_LAO_admin1_monthly.csv	ok	validation passed; polygons auto-loaded from same-basename geojson
23	2026-09-26T14:53:42Z	decision	run with the model's default configuration (no --model-configuration-yaml)	used	defaults name rainfall, mean_temperature and population, all present in the Lao CSV; brief asks for default evaluation
24	2026-09-26T14:54:24Z	command	curl raw.githubusercontent.com/dhis2/climate-health-data/refs/heads/main/lao/chap_LAO_admin1_monthly.{csv,geojson} + shasum	ok	public copies (URL from chapkit.md) are byte-identical to the three-file local data; run_route.sh can fetch them
25	2026-09-26T14:54:24Z	decision	write run_route.sh draft now, fetching data from the public URL by default	used	script must work with no project state; DATA_DIR override kept for the local copy
26	2026-09-26T14:57:27Z	command	docker pull --platform linux/amd64 ghcr.io/chap-models/chapkit_ghr_model:sha-a9532c7	ok	image pulled (~5GB, about 15 minutes)
27	2026-09-26T14:57:43Z	command	docker run -d --platform linux/amd64 -p 8765:8000 --name ghr-route-a ghcr.io/chap-models/chapkit_ghr_model:sha-a9532c7	ok	service healthy in a few seconds; /api/v1/info reports git_revision a9532c7, version 0.1.2, chapkit 2.1.2, requires_geo false
28	2026-09-26T14:57:43Z	decision	copy CSV and geojson together into results/manual_run/input	used	keeps same-basename pairing for geojson auto-discovery and keeps run inputs beside outputs
29	2026-09-26T14:57:50Z	milestone	evaluation_started	ok	chap eval against http://localhost:8765 with CHAP backtest defaults and --plot
30	2026-09-26T15:03:31Z	command	chap eval --model-name http://localhost:8765 --dataset-csv results/manual_run/input/chap_LAO_admin1_monthly.csv --output-file results/manual_run/eval.nc --run-config.is-chapkit-model --plot --run-config.log-file results/manual_run/chap_eval.log	ok	exit 0 after about 5.5 minutes; wrote eval.nc and eval.html; the requested --run-config.log-file was not created
31	2026-09-26T15:03:31Z	milestone	evaluation_complete	ok	eval.nc written by chap eval in results/manual_run
32	2026-09-26T15:03:52Z	command	docker logs ghr-route-a	ok	1 train + 7 predict jobs; formula has bym2 spatial (geometry used), rw1 seasonal, iid year, rainfall.rsum3.l1 and mean_temperature.rmean3.l1; CHAP's warning that rainfall and mean_temperature are unused does not hold; LA-VI rejected by CHAP for having no target values
33	2026-09-26T15:04:02Z	command	chap plot-backtest --input-file eval.nc --output-file evaluation_plot.html	ok	default plot type evaluation_plot written
34	2026-09-26T15:04:29Z	command	chap plot-backtest --input-file eval.nc --output-file evaluation_plot.png	ok	static PNG of default evaluation_plot: forecast bands vs observed per location and split
35	2026-09-26T15:04:29Z	command	chap export-metrics --input-files eval.nc --output-file metrics.csv	ok	18 aggregate metrics e.g. crps 151.4, mae 128.6, rmse 251.7, coverage_10_90 0.815; model_name column records the service URL, not the model id
36	2026-09-26T15:04:29Z	decision	treat chap eval --plot HTML plus plot-backtest default (evaluation_plot) plus export-metrics as the default evaluation output	used	eval --plot and plot-backtest default produce the same Backtest Forecasts with Observations chart; metrics need the separate export-metrics step
37	2026-09-26T15:04:29Z	command	docker rm -f ghr-route-a	ok	manual-run service stopped before the clean-shell script run
38	2026-09-26T15:04:38Z	milestone	model_registered_with_chap	ok	logged late: reached at 14:57:55Z inside chap eval, when CHAP read /api/v1/info and created a config on the service; there is no separate registration step on this route
39	2026-09-26T15:04:56Z	decision	remove the pulled image before the clean-shell run	used	so run_route.sh is exercised from nothing, including the GHCR pull
40	2026-09-26T15:04:57Z	command	docker rmi ghcr.io/chap-models/chapkit_ghr_model:sha-a9532c7	ok	image removed
41	2026-09-26T15:04:57Z	command	env -i HOME=$HOME PATH=/usr/bin:/bin bash scripts/run_route.sh	ok	launched in background; outcome logged on completion
42	2026-09-26T15:17:04Z	command	env -i HOME=$HOME PATH=/usr/bin:/bin bash scripts/run_route.sh (outcome)	ok	exit 0 in about 12 min from no local image: fetched public data, validated, pulled sha-a9532c7, ran eval, plot-backtest html+png, export-metrics into results/route_run; metrics close to but not identical to the manual run (crps 151.03 vs 151.36), posterior sampling is not seeded
43	2026-09-26T15:17:04Z	resource	results/route_run/metrics.csv vs results/manual_run/metrics.csv	used	run-to-run differences in the third significant figure; the route reproduces, the numbers are not bit-identical
44	2026-09-26T15:17:31Z	command	docker manifest inspect + docker image inspect ghcr.io/chap-models/chapkit_ghr_model:sha-a9532c7	ok	tag unchanged between pulls (amd64 manifest b5763f1a...); image GIT_REVISION a9532c7; the differing id in the rmi output was the last deleted layer, not the image
